report_date,cert,total_assets,borrowings
2023-12-31,17208.0,606.0,0.0
2023-12-31,7675.0,334.0,-3.0
2023-12-31,4433.0,18152.0,0.0
2023-12-31,16585.0,6.0,0.0
2023-12-31,14521.0,9302.0,-775.0
2023-12-31,15286.0,3904.0,0.0
2023-12-31,30551.0,75.0,0.0
2023-12-31,26323.0,2037.0,0.0
2023-12-31,14522.0,2305.0,-50.0
2023-12-31,6813.0,109.0,-198.0
2023-12-31,17621.0,151.0,0.0
2023-12-31,6442.0,173.0,-66.0
2023-12-31,9139.0,4549.0,0.0
2023-12-31,9005.0,448.0,22.0
2023-12-31,11922.0,819.0,-8.0
2023-12-31,14690.0,2125.0,0.0
